Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,3,6,0,0,0,0,0,0,0,0,0,0,360822,101,0,1,772,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,21264,60,0,0,265,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,1204179,101,0,3,642,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,531521,117,0,0,1753,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,27039,25,0,1,241,0
1,2,2,6,0,0,0,0,0,0,0,0,0,5,23991,2,0,0,58,1
1,2,2,6,1,1,1,1,1,1,1,1,1,9,145090,2,0,0,58,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,375189,830,0,1,3120,0
1,2,2,6,1,1,1,1,1,1,1,1,1,0,2847,0,0,0,27,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,150,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,168579,388,0,0,1497,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,569463,284,0,0,1598,0
1,2,2,6,0,0,0,0,0,0,0,0,0,9,145090,2,0,0,58,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,13,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,13,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,11,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,11,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,6,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,6,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,15678,63,0,0,264,0
1,2,2,6,0,0,0,0,0,0,0,0,0,6,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,4445,2,0,1,46,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,60626,203,0,0,1350,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,23728,19,0,0,87,0
1,2,2,6,0,0,0,0,0,0,0,0,0,2,30368,22,0,0,213,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,199,0,0,0,6,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,615,2,0,0,13,0
1,2,2,6,1,1,1,1,1,1,1,1,1,2,146423,2,0,0,56,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,130241,27,0,0,423,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,82661,274,0,0,1224,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,340716,6,0,0,135,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,150,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,148060,200,0,17,1373,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,150,0,0,0,8,0
1,2,2,6,0,0,0,0,0,0,0,0,0,2,146423,2,0,0,56,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,776,0,0,0,9,0
1,2,2,6,1,1,1,1,1,1,1,1,1,8,23827,2,0,0,58,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,17957,28,0,1,141,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,134769,344,0,0,1269,0
1,2,2,6,0,0,0,0,0,0,0,0,0,8,23827,2,0,0,58,1
1,2,2,6,1,1,1,1,1,1,1,1,1,7,145411,2,0,0,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,145411,2,0,0,61,1
1,2,2,6,1,1,1,1,1,1,1,1,1,5,23991,2,0,0,58,1
1,2,3,6,1,1,1,1,1,1,1,1,1,10,145090,2,0,0,58,1
1,2,3,6,1,1,1,1,1,1,1,1,1,7,145602,2,0,1,61,1
1,2,3,6,1,1,1,1,1,1,1,1,1,11,145628,2,0,1,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,4,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,183090,0,0,0,1,1
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,3,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,11,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,8,6672,3,0,0,23,1
1,2,4,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,205307,190,0,1,1023,0
1,2,4,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,21329,70,0,0,248,0
1,2,4,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,398226,705,0,0,2555,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,1861688,375,0,0,5965,0
1,2,4,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,9954,15,0,2,131,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,296481,104,0,0,738,0
