,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
869,elespanol.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,583937,633,0,6,3973
870,ticketmaster.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
871,wattpad.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,150,0,0,0,8
875,wordsense.eu,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,3898,7,0,0,86
876,veed.io,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,321135,193,0,1,1167
877,kaltura.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,ilmeteo.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,258338,213,0,2,1071
882,jagranjosh.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,180966,151,0,1,1226
883,linguee.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,21493,39,0,0,208
884,bhg.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
885,wikivoyage.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,48903,52,0,0,305
886,footlocker.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,585,0,0,0,8
887,t-online.de,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1236289,1002,0,1,5085
888,pinterest.de,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,287098,1,0,0,127
889,southwest.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,8216,0,0,0,47
890,9apps.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,298636,295,0,0,2977
891,budget.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,408388,221,0,0,2257
892,ejemplos.co,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,113329,227,0,0,1122
893,mynet.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,351967,370,0,2,1890
894,sanook.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,276029,146,0,1,683
895,travelocity.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1362271,141,0,0,1090
896,telegram.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,19576,62,0,0,301
897,careers360.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,3,825716,620,0,3,1847
898,infopedia.pt,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,4516,1,0,0,45
899,halodoc.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,339331,19,0,0,980
900,kapook.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,644903,1276,0,2,4245
901,housebeautiful.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,313428,98,0,0,781
902,wordpress.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,133666,79,0,1,641
903,cnnturk.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,787163,479,0,1,3372
904,paytm.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,383770,1539,0,0,2633
906,mercari.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,425,0,0,0,10
907,coindesk.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,3202393,731,0,2,5771
908,homemade-gifts-made-easy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,55643,97,0,1,319
